,operating_unit_name,ecom_reference_order_number,ordered_item,ordered_quantity,unit_selling_price,unit_list_price,ordered_date,tax_code,product_id,product_name,product_category
138,Cosmaline Local,396410,119901,2,0.2525,0.2525,2024-01-16,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
139,Cosmaline Local,396604,119901,1,0.2525,0.2525,2024-01-17,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
140,Cosmaline Local,396604,119901,2,0.2525,0.2525,2024-01-17,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
141,Cosmaline Local,396621,119901,8,0.244,0.2525,2024-01-17,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
142,Cosmaline Local,396213,119901,5,0.2525,0.2525,2024-01-18,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
143,Cosmaline Local,396601,119901,2,0.2525,0.2525,2024-01-18,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
144,Cosmaline Local,396690,119901,1,0.2485,0.2525,2024-01-19,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
145,Cosmaline Local,396717,119901,12,0.242,0.2525,2024-01-19,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
146,Cosmaline Local,396717,119901,9,0.242,0.2525,2024-01-19,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
147,Cosmaline Local,396668,119901,3,0.2145,0.2525,2024-01-20,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
148,Cosmaline Local,396930,119901,1,0.2145,0.2525,2024-01-24,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
149,Cosmaline Local,397143,119901,3,0.2525,0.2525,2024-01-25,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
150,Cosmaline Local,397087,119901,1,0.2145,0.2525,2024-01-25,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
151,Cosmaline Local,397087,119901,1,0.2145,0.2525,2024-01-25,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
152,Cosmaline Local,397087,119901,1,0.2145,0.2525,2024-01-25,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
153,Cosmaline Local,397087,119901,1,0.2145,0.2525,2024-01-25,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
154,Cosmaline Local,396480,119901,2,0.2525,0.2525,2024-01-22,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
155,Cosmaline Local,396939,119901,1,0.2145,0.2525,2024-01-23,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
156,Cosmaline Local,396939,119901,1,0.2145,0.2525,2024-01-23,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
157,Cosmaline Local,396910,119901,10,0.2145,0.2525,2024-01-23,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
