ShprNo,HAWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO
11150,8596268499,2024-02-29,0.0,USD,21.035,2024-02-29,290224RC
11150,8596268500,2024-02-29,0.0,USD,16.135,2024-02-29,290224RC
11150,8596268501,2024-02-28,0.0,USD,13.01,2024-02-29,290224RC
11150,8596268502,2024-02-28,0.0,USD,5.335,2024-02-29,290224RC
11150,8596268503,2024-02-28,0.0,USD,15.635,2024-02-29,290224RC
11150,8596268504,2024-02-28,0.0,USD,9.0,2024-02-29,290224RC
11150,8596268505,2024-02-28,0.0,USD,6.55,2024-02-29,290224RC
11150,8596268507,2024-02-28,0.0,USD,11.4,2024-02-29,290224RC
11150,8596268509,2024-02-28,0.0,USD,19.325,2024-02-29,290224RC
11150,8596268510,2024-02-28,0.0,USD,8.06,2024-02-29,290224RC
11150,8596268511,2024-02-28,0.0,USD,8.975,2024-02-29,290224RC
11150,8596268512,2024-02-28,0.0,USD,5.825,2024-02-29,290224RC
11150,8596268513,2024-02-29,0.0,USD,11.775,2024-02-29,290224RC
11150,8596268514,2024-02-28,0.0,USD,8.91,2024-02-29,290224RC
11150,8596268515,2024-02-28,0.0,USD,12.545,2024-02-29,290224RC
11150,8596268516,2024-02-29,0.0,USD,6.115,2024-02-29,290224RC
11150,8596268517,2024-02-28,0.0,USD,7.42,2024-02-29,290224RC
11150,8596268518,2024-02-28,0.0,USD,12.505,2024-02-29,290224RC
11150,8596268519,2024-02-29,0.0,USD,3.535,2024-02-29,290224RC
11150,8596268520,2024-02-29,0.0,USD,16.2,2024-02-29,290224RC
11150,8596268521,2024-02-28,0.0,USD,12.575,2024-02-29,290224RC
11150,8596268522,2024-02-28,0.0,USD,26.8,2024-02-29,290224RC
11150,8596268523,2024-02-29,0.0,USD,4.175,2024-02-29,290224RC
11150,8596268524,2024-02-28,0.0,USD,12.705,2024-02-29,290224RC
11150,8596268525,2024-02-28,0.0,USD,14.68,2024-02-29,290224RC
11150,8596268527,2024-02-28,0.0,USD,8.15,2024-02-29,290224RC
11150,8596268529,2024-02-28,0.0,USD,19.4,2024-02-29,290224RC
11150,8596268530,2024-02-28,0.0,USD,16.71,2024-02-29,290224RC
11150,8596268531,2024-02-28,0.0,USD,3.85,2024-02-29,290224RC
11150,8596268532,2024-02-28,0.0,USD,18.41,2024-02-29,290224RC
11150,8596268533,2024-02-29,0.0,USD,4.2,2024-02-29,290224RC
11150,8596268534,2024-02-29,0.0,USD,7.175,2024-02-29,290224RC
11150,8596268535,2024-02-28,0.0,USD,13.075,2024-02-29,290224RC
11150,8596268536,2024-02-28,0.0,USD,12.945,2024-02-29,290224RC
