ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596268962,2024-03-04,0.0,USD,7.075,2024-03-08,1103245TT,400561.0
11150.0,8596268979,2024-03-04,0.0,USD,7.1,2024-03-08,1103245TT,400578.0
11150.0,8596268987,2024-03-04,0.0,USD,7.085,2024-03-08,1103245TT,400586.0
11150.0,8596268988,2024-03-04,0.0,USD,5.675,2024-03-08,1103245TT,400587.0
11150.0,8596268679,2024-03-05,0.0,USD,15.07,2024-03-08,1103245TT,400278.0
11150.0,8596268757,2024-03-05,0.0,USD,11.865,2024-03-08,1103245TT,400356.0
11150.0,8596268807,2024-03-05,0.0,USD,21.84,2024-03-08,1103245TT,400406.0
11150.0,8596268841,2024-03-05,0.0,USD,10.425,2024-03-08,1103245TT,400440.0
11150.0,8596268866,2024-03-05,0.0,USD,5.825,2024-03-08,1103245TT,400465.0
11150.0,8596268873,2024-03-05,0.0,USD,16.29,2024-03-08,1103245TT,400472.0
11150.0,8596268874,2024-03-05,0.0,USD,16.415,2024-03-08,1103245TT,400473.0
11150.0,8596268876,2024-03-05,0.0,USD,8.655,2024-03-08,1103245TT,400475.0
11150.0,8596268877,2024-03-05,0.0,USD,14.975,2024-03-08,1103245TT,400476.0
11150.0,8596268886,2024-03-05,0.0,USD,8.7,2024-03-08,1103245TT,400485.0
11150.0,8596268906,2024-03-05,0.0,USD,4.25,2024-03-08,1103245TT,400505.0
11150.0,8596268915,2024-03-05,0.0,USD,17.55,2024-03-08,1103245TT,400514.0
11150.0,8596268924,2024-03-05,0.0,USD,12.32,2024-03-08,1103245TT,400523.0
11150.0,8596268925,2024-03-05,0.0,USD,27.75,2024-03-08,1103245TT,400524.0
11150.0,8596268929,2024-03-05,0.0,USD,14.3,2024-03-08,1103245TT,400528.0
11150.0,8596268934,2024-03-05,0.0,USD,4.45,2024-03-08,1103245TT,400533.0
11150.0,8596268935,2024-03-05,0.0,USD,7.46,2024-03-08,1103245TT,400534.0
11150.0,8596268939,2024-03-05,0.0,USD,9.65,2024-03-08,1103245TT,400538.0
11150.0,8596268940,2024-03-05,0.0,USD,8.6,2024-03-08,1103245TT,400539.0
11150.0,8596268943,2024-03-05,0.0,USD,6.05,2024-03-08,1103245TT,400542.0
11150.0,8596268945,2024-03-05,0.0,USD,8.59,2024-03-08,1103245TT,400544.0
11150.0,8596268947,2024-03-05,0.0,USD,29.04,2024-03-08,1103245TT,400546.0
11150.0,8596268951,2024-03-05,0.0,USD,3.725,2024-03-08,1103245TT,400550.0
